Year,Month,Day,월,화,수,목,금,토,일
2011,1,1,0,0,0,0,0,1,0
2011,1,2,0,0,0,0,0,0,1
2011,1,3,1,0,0,0,0,0,0
2011,1,4,0,1,0,0,0,0,0
2011,1,5,0,0,1,0,0,0,0
2011,1,6,0,0,0,1,0,0,0
2011,1,7,0,0,0,0,1,0,0
2011,1,8,0,0,0,0,0,1,0
2011,1,9,0,0,0,0,0,0,1
2011,1,10,1,0,0,0,0,0,0
2011,1,11,0,1,0,0,0,0,0
2011,1,12,0,0,1,0,0,0,0
2011,1,13,0,0,0,1,0,0,0
2011,1,14,0,0,0,0,1,0,0
2011,1,15,0,0,0,0,0,1,0
2011,1,16,0,0,0,0,0,0,1
2011,1,17,1,0,0,0,0,0,0
2011,1,18,0,1,0,0,0,0,0
2011,1,19,0,0,1,0,0,0,0
2011,1,20,0,0,0,1,0,0,0
2011,1,21,0,0,0,0,1,0,0
2011,1,22,0,0,0,0,0,1,0
2011,1,23,0,0,0,0,0,0,1
2011,1,24,1,0,0,0,0,0,0
2011,1,25,0,1,0,0,0,0,0
2011,1,26,0,0,1,0,0,0,0
2011,1,27,0,0,0,1,0,0,0
2011,1,28,0,0,0,0,1,0,0
2011,1,29,0,0,0,0,0,1,0
2011,1,30,0,0,0,0,0,0,1
2011,1,31,1,0,0,0,0,0,0
2011,2,1,0,1,0,0,0,0,0
2011,2,2,0,0,1,0,0,0,0
2011,2,3,0,0,0,1,0,0,0
2011,2,4,0,0,0,0,1,0,0
2011,2,5,0,0,0,0,0,1,0
2011,2,6,0,0,0,0,0,0,1
2011,2,7,1,0,0,0,0,0,0
2011,2,8,0,1,0,0,0,0,0
2011,2,9,0,0,1,0,0,0,0
2011,2,10,0,0,0,1,0,0,0
2011,2,11,0,0,0,0,1,0,0
2011,2,12,0,0,0,0,0,1,0
2011,2,13,0,0,0,0,0,0,1
2011,2,14,1,0,0,0,0,0,0
2011,2,15,0,1,0,0,0,0,0
2011,2,16,0,0,1,0,0,0,0
2011,2,17,0,0,0,1,0,0,0
2011,2,18,0,0,0,0,1,0,0
2011,2,19,0,0,0,0,0,1,0
2011,2,20,0,0,0,0,0,0,1
2011,2,21,1,0,0,0,0,0,0
2011,2,22,0,1,0,0,0,0,0
2011,2,23,0,0,1,0,0,0,0
2011,2,24,0,0,0,1,0,0,0
2011,2,25,0,0,0,0,1,0,0
2011,2,26,0,0,0,0,0,1,0
2011,2,27,0,0,0,0,0,0,1
2011,2,28,1,0,0,0,0,0,0
2011,3,1,0,1,0,0,0,0,0
2011,3,2,0,0,1,0,0,0,0
2011,3,3,0,0,0,1,0,0,0
2011,3,4,0,0,0,0,1,0,0
2011,3,5,0,0,0,0,0,1,0
2011,3,6,0,0,0,0,0,0,1
2011,3,7,1,0,0,0,0,0,0
2011,3,8,0,1,0,0,0,0,0
2011,3,9,0,0,1,0,0,0,0
2011,3,10,0,0,0,1,0,0,0
2011,3,11,0,0,0,0,1,0,0
2011,3,12,0,0,0,0,0,1,0
2011,3,13,0,0,0,0,0,0,1
2011,3,14,1,0,0,0,0,0,0
2011,3,15,0,1,0,0,0,0,0
2011,3,16,0,0,1,0,0,0,0
2011,3,17,0,0,0,1,0,0,0
2011,3,18,0,0,0,0,1,0,0
2011,3,19,0,0,0,0,0,1,0
2011,3,20,0,0,0,0,0,0,1
2011,3,21,1,0,0,0,0,0,0
2011,3,22,0,1,0,0,0,0,0
2011,3,23,0,0,1,0,0,0,0
2011,3,24,0,0,0,1,0,0,0
2011,3,25,0,0,0,0,1,0,0
2011,3,26,0,0,0,0,0,1,0
2011,3,27,0,0,0,0,0,0,1
2011,3,28,1,0,0,0,0,0,0
2011,3,29,0,1,0,0,0,0,0
2011,3,30,0,0,1,0,0,0,0
2011,3,31,0,0,0,1,0,0,0
2011,4,1,0,0,0,0,1,0,0
2011,4,2,0,0,0,0,0,1,0
2011,4,3,0,0,0,0,0,0,1
2011,4,4,1,0,0,0,0,0,0
2011,4,5,0,1,0,0,0,0,0
2011,4,6,0,0,1,0,0,0,0
2011,4,7,0,0,0,1,0,0,0
2011,4,8,0,0,0,0,1,0,0
2011,4,9,0,0,0,0,0,1,0
2011,4,10,0,0,0,0,0,0,1
2011,4,11,1,0,0,0,0,0,0
2011,4,12,0,1,0,0,0,0,0
2011,4,13,0,0,1,0,0,0,0
2011,4,14,0,0,0,1,0,0,0
2011,4,15,0,0,0,0,1,0,0
2011,4,16,0,0,0,0,0,1,0
2011,4,17,0,0,0,0,0,0,1
2011,4,18,1,0,0,0,0,0,0
2011,4,19,0,1,0,0,0,0,0
2011,4,20,0,0,1,0,0,0,0
2011,4,21,0,0,0,1,0,0,0
2011,4,22,0,0,0,0,1,0,0
2011,4,23,0,0,0,0,0,1,0
2011,4,24,0,0,0,0,0,0,1
2011,4,25,1,0,0,0,0,0,0
2011,4,26,0,1,0,0,0,0,0
2011,4,27,0,0,1,0,0,0,0
2011,4,28,0,0,0,1,0,0,0
2011,4,29,0,0,0,0,1,0,0
2011,4,30,0,0,0,0,0,1,0
2011,5,1,0,0,0,0,0,0,1
2011,5,2,1,0,0,0,0,0,0
2011,5,3,0,1,0,0,0,0,0
2011,5,4,0,0,1,0,0,0,0
2011,5,5,0,0,0,1,0,0,0
2011,5,6,0,0,0,0,1,0,0
2011,5,7,0,0,0,0,0,1,0
2011,5,8,0,0,0,0,0,0,1
2011,5,9,1,0,0,0,0,0,0
2011,5,10,0,1,0,0,0,0,0
2011,5,11,0,0,1,0,0,0,0
2011,5,12,0,0,0,1,0,0,0
2011,5,13,0,0,0,0,1,0,0
2011,5,14,0,0,0,0,0,1,0
2011,5,15,0,0,0,0,0,0,1
2011,5,16,1,0,0,0,0,0,0
2011,5,17,0,1,0,0,0,0,0
2011,5,18,0,0,1,0,0,0,0
2011,5,19,0,0,0,1,0,0,0
2011,5,20,0,0,0,0,1,0,0
2011,5,21,0,0,0,0,0,1,0
2011,5,22,0,0,0,0,0,0,1
2011,5,23,1,0,0,0,0,0,0
2011,5,24,0,1,0,0,0,0,0
2011,5,25,0,0,1,0,0,0,0
2011,5,26,0,0,0,1,0,0,0
2011,5,27,0,0,0,0,1,0,0
2011,5,28,0,0,0,0,0,1,0
2011,5,29,0,0,0,0,0,0,1
2011,5,30,1,0,0,0,0,0,0
2011,5,31,0,1,0,0,0,0,0
2011,6,1,0,0,1,0,0,0,0
2011,6,2,0,0,0,1,0,0,0
2011,6,3,0,0,0,0,1,0,0
2011,6,4,0,0,0,0,0,1,0
2011,6,5,0,0,0,0,0,0,1
2011,6,6,1,0,0,0,0,0,0
2011,6,7,0,1,0,0,0,0,0
2011,6,8,0,0,1,0,0,0,0
2011,6,9,0,0,0,1,0,0,0
2011,6,10,0,0,0,0,1,0,0
2011,6,11,0,0,0,0,0,1,0
2011,6,12,0,0,0,0,0,0,1
2011,6,13,1,0,0,0,0,0,0
2011,6,14,0,1,0,0,0,0,0
2011,6,15,0,0,1,0,0,0,0
2011,6,16,0,0,0,1,0,0,0
2011,6,17,0,0,0,0,1,0,0
2011,6,18,0,0,0,0,0,1,0
2011,6,19,0,0,0,0,0,0,1
2011,6,20,1,0,0,0,0,0,0
2011,6,21,0,1,0,0,0,0,0
2011,6,22,0,0,1,0,0,0,0
2011,6,23,0,0,0,1,0,0,0
2011,6,24,0,0,0,0,1,0,0
2011,6,25,0,0,0,0,0,1,0
2011,6,26,0,0,0,0,0,0,1
2011,6,27,1,0,0,0,0,0,0
2011,6,28,0,1,0,0,0,0,0
2011,6,29,0,0,1,0,0,0,0
2011,6,30,0,0,0,1,0,0,0
2011,7,1,0,0,0,0,1,0,0
2011,7,2,0,0,0,0,0,1,0
2011,7,3,0,0,0,0,0,0,1
2011,7,4,1,0,0,0,0,0,0
2011,7,5,0,1,0,0,0,0,0
2011,7,6,0,0,1,0,0,0,0
2011,7,7,0,0,0,1,0,0,0
2011,7,8,0,0,0,0,1,0,0
2011,7,9,0,0,0,0,0,1,0
2011,7,10,0,0,0,0,0,0,1
2011,7,11,1,0,0,0,0,0,0
2011,7,12,0,1,0,0,0,0,0
2011,7,13,0,0,1,0,0,0,0
2011,7,14,0,0,0,1,0,0,0
2011,7,15,0,0,0,0,1,0,0
2011,7,16,0,0,0,0,0,1,0
2011,7,17,0,0,0,0,0,0,1
2011,7,18,1,0,0,0,0,0,0
2011,7,19,0,1,0,0,0,0,0
2011,7,20,0,0,1,0,0,0,0
2011,7,21,0,0,0,1,0,0,0
2011,7,22,0,0,0,0,1,0,0
2011,7,23,0,0,0,0,0,1,0
2011,7,24,0,0,0,0,0,0,1
2011,7,25,1,0,0,0,0,0,0
2011,7,26,0,1,0,0,0,0,0
2011,7,27,0,0,1,0,0,0,0
2011,7,28,0,0,0,1,0,0,0
2011,7,29,0,0,0,0,1,0,0
2011,7,30,0,0,0,0,0,1,0
2011,7,31,0,0,0,0,0,0,1
2011,8,1,1,0,0,0,0,0,0
2011,8,2,0,1,0,0,0,0,0
2011,8,3,0,0,1,0,0,0,0
2011,8,4,0,0,0,1,0,0,0
2011,8,5,0,0,0,0,1,0,0
2011,8,6,0,0,0,0,0,1,0
2011,8,7,0,0,0,0,0,0,1
2011,8,8,1,0,0,0,0,0,0
2011,8,9,0,1,0,0,0,0,0
2011,8,10,0,0,1,0,0,0,0
2011,8,11,0,0,0,1,0,0,0
2011,8,12,0,0,0,0,1,0,0
2011,8,13,0,0,0,0,0,1,0
2011,8,14,0,0,0,0,0,0,1
2011,8,15,1,0,0,0,0,0,0
2011,8,16,0,1,0,0,0,0,0
2011,8,17,0,0,1,0,0,0,0
2011,8,18,0,0,0,1,0,0,0
2011,8,19,0,0,0,0,1,0,0
2011,8,20,0,0,0,0,0,1,0
2011,8,21,0,0,0,0,0,0,1
2011,8,22,1,0,0,0,0,0,0
2011,8,23,0,1,0,0,0,0,0
2011,8,24,0,0,1,0,0,0,0
2011,8,25,0,0,0,1,0,0,0
2011,8,26,0,0,0,0,1,0,0
2011,8,27,0,0,0,0,0,1,0
2011,8,28,0,0,0,0,0,0,1
2011,8,29,1,0,0,0,0,0,0
2011,8,30,0,1,0,0,0,0,0
2011,8,31,0,0,1,0,0,0,0
2011,9,1,0,0,0,1,0,0,0
2011,9,2,0,0,0,0,1,0,0
2011,9,3,0,0,0,0,0,1,0
2011,9,4,0,0,0,0,0,0,1
2011,9,5,1,0,0,0,0,0,0
2011,9,6,0,1,0,0,0,0,0
2011,9,7,0,0,1,0,0,0,0
2011,9,8,0,0,0,1,0,0,0
2011,9,9,0,0,0,0,1,0,0
2011,9,10,0,0,0,0,0,1,0
2011,9,11,0,0,0,0,0,0,1
2011,9,12,1,0,0,0,0,0,0
2011,9,13,0,1,0,0,0,0,0
2011,9,14,0,0,1,0,0,0,0
2011,9,15,0,0,0,1,0,0,0
2011,9,16,0,0,0,0,1,0,0
2011,9,17,0,0,0,0,0,1,0
2011,9,18,0,0,0,0,0,0,1
2011,9,19,1,0,0,0,0,0,0
2011,9,20,0,1,0,0,0,0,0
2011,9,21,0,0,1,0,0,0,0
2011,9,22,0,0,0,1,0,0,0
2011,9,23,0,0,0,0,1,0,0
2011,9,24,0,0,0,0,0,1,0
2011,9,25,0,0,0,0,0,0,1
2011,9,26,1,0,0,0,0,0,0
2011,9,27,0,1,0,0,0,0,0
2011,9,28,0,0,1,0,0,0,0
2011,9,29,0,0,0,1,0,0,0
